20분전부산대,10분전부산대,실시간부산대,10분전신천교,실시간신천교,실시간수위,30분뒤수위,10분뒤수위,20분뒤수위,40분뒤수위,50분뒤수위,날짜
0,0,0,0,0,1.22,1.19,1.22,1.2,1.18,1.18,2016-07-11 18:50
0,0,0,0,0,1.27,1.25,1.26,1.25,1.24,1.24,2016-04-28 0:20
1,0,0.5,0,0.5,1.45,1.53,1.47,1.5,1.59,1.83,2014-08-04 0:50
0,0,0,0,0,0.98,0.98,0.98,0.98,0.98,0.98,2013-11-25 23:20
0,0,0,0,0,0.99,1,1,1,1,0.99,2013-02-24 4:00
0,0,0,0,0,1.06,1.06,1.06,1.06,1.06,1.06,2013-08-04 11:20
0,0,0,0,0,1,1,1,1,1,1,2013-01-19 22:40
0,0,0,0,0,1,0.99,1,1,1,1,2014-12-05 13:10
0,0,0,0,0,1.02,1.02,1.02,1.02,1.03,1.03,2016-07-12 20:50
0,0,0,0,0,1.09,1.08,1.09,1.09,1.08,1.08,2013-05-24 0:30
0,0,0,0,0,1,1,1,1,1,1,2014-02-16 2:30
0,0,0,0,0,0.99,0.99,0.99,0.99,1,0.99,2016-07-20 20:50
0,0,0,0,0,1.03,1.03,1.03,1.03,1.03,1.03,2013-08-31 19:40
0,0,0,0,0,1,1,1,1,1,1,2015-08-19 8:20
0,0,0,0,0,0.98,0.97,0.98,0.97,0.97,0.97,2013-12-17 14:50
0,0,0,0,0,1.05,1.06,1.05,1.05,1.05,1.05,2016-09-01 12:40
0,0,0,0,0,1.04,1.04,1.04,1.04,1.04,1.03,2015-03-22 1:20
0,0,0,0,0,1.29,1.29,1.29,1.29,1.29,1.29,2015-12-25 1:10
0,0,0,0,0,1.04,1.02,1.04,1.05,1.02,1.02,2015-08-12 19:50
0,0,0,0,0,1,1.01,1,1.01,1.01,1.01,2014-09-23 18:50
0,0,0,0,0,1.09,1.09,1.09,1.09,1.1,1.1,2016-07-09 11:20
0,0,0,0,0,1.03,1.03,1.03,1.03,1.03,1.03,2013-03-23 12:10
0,0,0,0,0,1.64,1.61,1.63,1.62,1.61,1.61,2016-07-04 17:00
0,0,0,0,0,1.08,1.07,1.08,1.08,1.07,1.07,2015-06-04 11:00
0,0,0,0,0.5,1.18,1.19,1.17,1.17,1.23,1.23,2014-03-30 3:30
0,0,0,0,0,1,0.99,1,1,0.99,0.98,2014-01-28 3:30
0,0,0,0,0,1.29,1.29,1.29,1.29,1.29,1.29,2015-12-20 23:20
0,0,0,0,0,1.05,1.04,1.04,1.04,1.04,1.04,2016-06-30 1:00
0,0,0.5,0,0,1.15,1.15,1.15,1.15,1.15,1.14,2015-04-28 21:20
0,0,0,0,0,1.2,1.21,1.21,1.21,1.2,1.2,2013-03-01 6:40
0,0,0,0,0,1.03,1.03,1.03,1.03,1.03,1.03,2014-11-04 8:30
0,0,0,0,0,1.16,1.17,1.17,1.17,1.16,1.17,2016-02-21 15:40
0,0,0,0,0,1.4,1.39,1.39,1.39,1.38,1.38,2016-10-08 13:40
0,0,0,0,0,0.97,1.01,0.98,0.99,1.02,1.03,2015-10-16 23:50
0,0,0,0,0,1.06,1.08,1.07,1.08,1.08,1.08,2016-10-03 10:40
0,0,0,0,0,1.05,1.05,1.05,1.05,1.05,1.05,2013-04-15 16:40
0,0,0,0,0,1,1,1,1,1.01,1.01,2014-11-14 7:00
0,0,0,0,0,0.99,0.99,0.99,0.99,0.99,0.99,2014-12-08 0:40
0,0,0,0.5,0,1.83,1.78,1.81,1.8,1.77,1.75,2015-04-20 0:40
0,0,0,0,0,1.04,1.03,1.04,1.03,1.03,1.02,2016-03-21 18:50
0,0,0,0,0,1.16,1.16,1.16,1.16,1.16,1.16,2014-05-28 2:10
0,0,0,0,0,1.05,1.05,1.05,1.05,1.05,1.05,2016-12-21 16:40
0,0,0,0,0,1,0.99,1,1,0.99,0.99,2014-03-29 5:10
0,0,0,0,0,1.07,1.07,1.07,1.07,1.07,1.07,2015-06-18 11:20
0,0,0,0,0,1.21,1.2,1.21,1.21,1.2,1.21,2014-08-05 23:00
0,0,0,0,0,1.01,1.01,1.01,1.01,1.01,1.01,2014-06-29 20:10
0,0,0,0,0,1.04,1.04,1.04,1.04,1.04,1.04,2015-06-22 2:50
0,0,0,0,0,0.97,0.98,0.97,0.98,0.98,0.98,2013-09-11 0:30
0,0,0,0,0,0.97,0.97,0.97,0.97,0.96,0.96,2015-02-04 13:20
0,0,0,0,0,0.96,0.95,0.96,0.96,0.96,0.96,2014-01-06 23:50
0,0,0,0,0,1.11,1.12,1.11,1.12,1.12,1.12,2014-06-11 11:00
0,0,0,0,0,1.04,1.04,1.04,1.04,1.04,1.04,2013-05-03 5:50
0,0,0,0,0,0.99,0.98,0.99,0.98,0.98,0.97,2015-03-11 13:40
0,0,0,0,0,1.08,1.08,1.08,1.08,1.07,1.07,2015-06-27 2:30
0,0,0,0,0,1.07,1.08,1.07,1.07,1.08,1.08,2013-08-05 14:10
0,0,0,0,0,1.02,1.03,1.02,1.02,1.03,1.03,2013-04-21 8:40
0,0,0,0,0,1.11,1.11,1.11,1.11,1.11,1.11,2013-06-26 16:10
0,0,0,0,0,0.98,0.97,0.98,0.98,0.97,0.97,2015-10-23 7:30
0,0,0,0,0,0.98,0.97,0.97,0.97,0.97,0.96,2016-11-01 19:50
0,0,0,0,0,1.08,1.09,1.08,1.08,1.08,1.09,2014-05-15 3:40
0,0,0,0,0,1.02,1.01,1.02,1.01,1.01,1.01,2014-07-30 19:50
0,0,0,0,0,0.99,1,0.99,0.99,1.01,1.02,2014-11-25 19:40
0,0,0,0,0,1.04,1.04,1.04,1.04,1.04,1.04,2015-04-27 2:00
0,0,0,0,0,1.1,1.1,1.1,1.1,1.1,1.1,2014-06-09 15:40
0,0,0.5,0,0,1.05,1.06,1.06,1.06,1.05,1.06,2014-04-28 2:00
0,0,0,0,0,0.98,0.98,0.98,0.98,0.97,0.97,2015-10-26 7:30
0,0,0,0,0,0.98,0.98,0.98,0.98,0.98,0.98,2015-01-02 23:40
0,0,0,0,0,1.03,1.02,1.02,1.02,1.02,1.02,2015-06-21 4:10
0,0,0,0,0,1.1,1.1,1.1,1.1,1.11,1.11,2016-04-18 20:50
0,0,0,0,0,1.02,1.02,1.02,1.02,1.02,1.02,2016-11-26 22:50
0,0,0,0,0,1.16,1.16,1.16,1.16,1.16,1.16,2016-05-08 16:30
0,0,0,0,0,1.12,1.12,1.12,1.12,1.12,1.12,2014-05-08 15:10
0,0,0,0,0,1.01,1.01,1.01,1.01,1,1,2015-06-27 16:50
0,0,0,0,0,1.17,1.17,1.17,1.17,1.17,1.17,2015-05-22 13:50
0,0,0,0,0,0.99,0.98,0.99,0.98,0.98,0.98,2014-02-14 5:00
0,0,0,0,0,1.06,1.05,1.06,1.06,1.05,1.04,2016-10-22 17:00
0,0,0,0,0,1.02,1.05,1.01,1.02,1.04,1.05,2015-08-01 20:10
