20분전부산대강수량,10분전부산대강수량,현재부산대강수량,10분전신천교강수량,현재신천교강수량,현재세병교수위,30분뒤수위,날짜
1.08,1.07879752,1.07770492,1.0767812,1.07605512,1.0754954,1.08,2013-05-11 9:00
1.1,1.0981653,1.0964493,1.0949427,1.0936819,1.0926435,1.1,2014-05-25 16:00
1.18,1.17563642,1.17142682,1.1675887,1.16418902,1.1612359,1.18,2016-05-28 17:40
0.94,0.94322306,0.94649426,0.9496507,0.95266766,0.9554587,0.94,2014-12-25 17:40
1.06,1.05942974,1.05896054,1.0586197,1.05842834,1.0583473,1.07,2014-09-21 12:00
1.38,1.38387927,1.38015942,1.3731779,1.36880992,1.36460965,1.36,2015-04-13 3:00
1.09,1.08848141,1.08707711,1.08586195,1.08486851,1.08406945,1.09,2015-11-17 14:00
1.03,1.03037807,1.03084397,1.03137745,1.03198817,1.03262515,1.02,2015-01-06 15:00
1.07,1.06911363,1.06833273,1.06770045,1.06724173,1.06692135,1.06,2014-07-07 3:20
1.08,1.07879752,1.07770492,1.0767812,1.07605512,1.0754954,1.08,2016-01-17 15:40
0.97,0.97227473,0.97461083,0.97689295,0.97910783,0.98118085,0.97,2014-03-16 5:20
1,1.0013264,1.0027274,1.0041352,1.005548,1.006903,1,2016-04-13 7:10
1.12,1.11753308,1.11519368,1.1131042,1.11130868,1.1097916,1.12,2014-08-06 7:10
1.14,1.13690086,1.13393806,1.1312657,1.12893546,1.1269397,1.14,2014-08-31 21:30
1.15,1.14658475,1.14331025,1.14034645,1.13774885,1.13551375,1.15,2016-02-02 5:00
1.01,1.01101029,1.01209959,1.01321595,1.01436139,1.01547705,1.01,2013-11-17 2:40
1,1.0013264,1.0027274,1.0041352,1.005548,1.006903,1,2015-08-10 6:40
0.95,0.95290695,0.95586645,0.95873145,0.96148105,0.96403275,0.95,2013-12-29 4:40
1.07,1.06911363,1.06833273,1.06770045,1.06724173,1.06692135,1.06,2015-03-22 13:00
0.97,0.97227473,0.97461083,0.97689295,0.97910783,0.98118085,0.98,2015-09-05 19:50
1.08,1.07879752,1.07770492,1.0767812,1.07605512,1.0754954,1.08,2016-01-03 12:10
1.09,1.08848141,1.08707711,1.08586195,1.08486851,1.08406945,1.09,2014-07-23 10:00
1,1.0013264,1.0027274,1.0041352,1.005548,1.006903,1,2013-01-17 13:50
1,1.0013264,1.0027274,1.0041352,1.005548,1.006903,0.99,2013-01-07 3:40
2.35,2.45108745,2.55968255,2.6608917,2.73536245,2.78699355,2.55,2015-05-11 21:50
0.92,0.92385528,0.92774988,0.9314892,0.93504088,0.9383106,0.92,2014-12-17 18:20
1.02,1.02069418,1.02147178,1.0222967,1.02317478,1.0240511,1.01,2016-11-11 3:00
1.24,1.23373976,1.22765996,1.2220732,1.21706936,1.2126802,1.24,2015-05-13 15:30
1,1.0013264,1.0027274,1.0041352,1.005548,1.006903,1.01,2013-11-27 21:00
1.14,1.13690086,1.13393806,1.1312657,1.12893546,1.1269397,1.14,2016-02-04 21:50
1.02,1.02069418,1.02147178,1.0222967,1.02317478,1.0240511,1.02,2013-03-12 10:10
1.03,1.03037807,1.03084397,1.03137745,1.03198817,1.03262515,1.04,2015-11-14 22:30
1.08,1.07879752,1.07770492,1.0767812,1.07605512,1.0754954,1.08,2016-06-25 8:50
1.23,1.22857657,1.22218367,1.21610915,1.21068237,1.2054623,1.21,2014-04-28 21:40
1.05,1.04974585,1.04958835,1.04953895,1.04961495,1.04977325,1.05,2013-04-30 3:40
1.18,1.17563642,1.17142682,1.1675887,1.16418902,1.1612359,1.18,2016-05-19 14:20
0.96,0.96259084,0.96523864,0.9678122,0.97029444,0.9726068,0.95,2014-02-01 0:50
0.94,0.94322306,0.94649426,0.9496507,0.95266766,0.9554587,0.95,2015-03-07 19:50
1.01,1.01101029,1.01209959,1.01321595,1.01436139,1.01547705,1.01,2015-08-04 1:30
1.14,1.13690086,1.13393806,1.1312657,1.12893546,1.1269397,1.12,2014-06-03 0:30
0.95,0.95290695,0.95586645,0.95873145,0.96148105,0.96403275,0.94,2014-12-04 7:20
1.03,1.03037807,1.03084397,1.03137745,1.03198817,1.03262515,1.03,2016-11-09 15:20
1,1.0013264,1.0027274,1.0041352,1.005548,1.006903,1,2013-03-05 9:00
1.03,1.03037807,1.03084397,1.03137745,1.03198817,1.03262515,1.02,2016-10-29 17:30
1,1.0255141,1.04824355,1.0664135,1.07659185,1.08271775,1.06,2016-03-18 5:00
1.16,1.15626864,1.15268244,1.1494272,1.14656224,1.1440878,1.15,2014-08-29 4:40
1.15,1.14658475,1.14331025,1.14034645,1.13774885,1.13551375,1.15,2014-05-22 12:10
1.18,1.17563642,1.17142682,1.1675887,1.16418902,1.1612359,1.18,2016-06-02 11:50
1.13,1.12721697,1.12456587,1.12218495,1.12012207,1.11836565,1.13,2014-06-02 2:40
1.07,1.06911363,1.06833273,1.06770045,1.06724173,1.06692135,1.09,2015-05-09 19:40
1.16,1.15626864,1.15268244,1.1494272,1.14656224,1.1440878,1.15,2015-03-28 11:30
0.96,0.96259084,0.96523864,0.9678122,0.97029444,0.9726068,0.95,2014-02-14 18:00
