s,10분전부산대강수량,현재부산대강수량,10분전신천교강수량,현재신천교강수량,현재세병교수위,30분뒤수위,날짜
0.98,0.98195862,0.98398302,0.9859737,0.98792122,0.9897549,0.98,2014-04-09 8:40
0.98,0.98195862,0.98398302,0.9859737,0.98792122,0.9897549,0.97,2013-10-23 5:00
1,1.0013264,1.0027274,1.0041352,1.005548,1.006903,1.01,2014-04-14 12:10
0.96,0.96259084,0.96523864,0.9678122,0.97029444,0.9726068,0.96,2014-01-02 8:20
1.12,1.11753308,1.11519368,1.1131042,1.11130868,1.1097916,1.12,2014-05-11 14:10
0.98,0.98195862,0.98398302,0.9859737,0.98792122,0.9897549,0.99,2013-09-29 11:20
0.99,0.99164251,0.99335521,0.99505445,0.99673461,0.99832895,0.98,2013-01-03 8:10
0.98,0.98195862,0.98398302,0.9859737,0.98792122,0.9897549,0.98,2015-10-12 19:10
1.1,1.0981653,1.0964493,1.0949427,1.0936819,1.0926435,1.09,2014-06-09 4:50
0.98,0.98195862,0.98398302,0.9859737,0.98792122,0.9897549,0.97,2014-10-07 22:30
1.03,1.03037807,1.03084397,1.03137745,1.03198817,1.03262515,1.03,2016-05-17 6:30
1.13,1.12721697,1.12456587,1.12218495,1.12012207,1.11836565,1.13,2014-05-22 1:30
1,1.0013264,1.0027274,1.0041352,1.005548,1.006903,1,2013-01-03 12:50
1.06,1.05942974,1.05896054,1.0586197,1.05842834,1.0583473,1.06,2013-07-31 10:30
0.98,0.98195862,0.98398302,0.9859737,0.98792122,0.9897549,0.97,2015-02-14 2:00
1,1.0013264,1.0027274,1.0041352,1.005548,1.006903,1,2014-02-01 2:40
0.98,0.98195862,0.98398302,0.9859737,0.98792122,0.9897549,0.98,2015-01-09 7:30
1.02,1.02069418,1.02147178,1.0222967,1.02317478,1.0240511,1.02,2016-12-29 13:10
0.98,0.98195862,0.98398302,0.9859737,0.98792122,0.9897549,0.99,2013-02-23 10:50
